,pearson_1h,pearson_3h,pearson_change
adx,0.007411574476216747,0.009000474102051383,0.0026935269709384615
number_of_trades,0.007139437917200598,0.009660425230004743,0.010377466519497985
atr_14,0.007021712695964183,0.014859847996414568,0.006492469400250774
volatility_20,0.006425074966982423,0.017141128962107535,0.018761045435511846
bb_bandwidth,0.006168300412032956,0.012656233535040959,0.012051100788610434
taker_sell_volume,0.00437574595740188,0.0077551046368497245,0.007110071356661505
taker_volume,0.004188483365326666,0.006424809473158566,0.011537231511458383
sentiment_vol_x_volatility,0.004134093247448159,0.00583657305868823,0.01487446234237374
volume_ma5,0.0039111938745806435,0.0028230208198299573,0.006668727412058626
taker_volume_ma5,0.003911193874580641,0.002823020819829946,0.006668727412058632
funding_rate,0.003420529266456827,-0.0034404924597769833,-0.002961769653044861
funding_rate_ma3,0.002831813212243781,-0.0027092295818937216,-0.003940852069038348
volatility_60,0.00232251880650035,0.007061446648543279,0.008959144703981112
volume_ma20,0.0020701857805674145,0.0012696058017510822,0.006294713187088077
volume,0.0014735109263338752,0.00552481235215901,0.006514908178287268
sma_50,0.00014975196019211668,0.002288709739837951,-0.005109382872413372
sma_20,-0.00014487358555980535,0.0012920534838843508,-0.005589034804440875
ema_26,-0.0001779683360824298,0.0014665620928462227,-0.005439827006087559
ema_12,-0.0005494523291653302,0.0008744014438677186,-0.005586432801177601
open,-0.001161652763753921,0.0002537523317679107,-0.005746999758706694
high,-0.0013295964921277823,0.00019435271065584142,-0.0054897522585672315
taker_buy_volume,-0.001453213016787329,0.003260263452688125,0.005892888063213477
low,-0.001567605689573981,-0.00015283303016993128,-0.0058474975142296885
volume_ratio,-0.0017848175536522273,-0.004222285879566214,0.002806789617506782
close,-0.0019095541853603648,-0.0002448293107588945,-0.005857665765646691
funding_rate_change,-0.0033247818005291857,0.0012221191650792081,-4.4467074290529017e-05
trend_signal,-0.007716137534356645,-0.023132700339664813,-0.0005349852632196727
macd_signal,-0.012741495551427999,-0.030789502967123926,-0.007413073238146383
macd_line,-0.023120480120056654,-0.03567303638538765,-0.006257132148540022
fear_greed_simple,-0.026564361267411858,-0.02719080503731017,-0.014096187527803882
macd_hist,-0.03568999944156978,-0.021981611539281437,0.0013531474305714555
price_momentum_20,-0.03738248629439703,-0.035613311682565756,-0.0007273572091559124
cci_20,-0.05480069776463224,-0.05006211065519736,0.011329409932637285
log_return,-0.05788693745922133,-0.03990780902217169,-0.0039054685953982485
stoch_d,-0.05994575068398949,-0.05944924764682227,-0.0002267779486942275
taker_buy_ratio,-0.060371511406427145,-0.049910596018032743,-0.006878362674090272
taker_buy_sell_ratio,-0.06041748052650235,-0.050560169436035154,-0.006124327214740449
rsi_14,-0.06044599039580726,-0.059359264537457684,0.0029869218348874405
price_momentum_5,-0.0633393326141388,-0.051433495337864954,-0.013597123780575135
bb_percent_b,-0.07401197567776051,-0.06705336950254515,0.004889227627789202
stoch_k,-0.0837400303713184,-0.07429915000918634,-0.0011211541775760971
williams_r,-0.08374003037132705,-0.0742991500092358,-0.001121154177577915
