feature,mi_score_1h,mi_score_3h,mi_score_change
rsi_14,0.006885627405745609,0.004683766720827265,0.014496251561914697
macd_line,0.0052868994489134735,0.0017117506415615935,0.04269104481919683
price_momentum_5,0.004884042948154033,0.0036017911933363678,0.048994081520779
sentiment_vol_x_volatility,0.004883685341335209,0.0013811736259690122,0.062156918527761285
williams_r,0.0048255148932287995,0.002250700118930027,0.00337092669795247
trend_signal,0.004529502852262723,0.0,0.0028251657146585174
stoch_k,0.004086280660468233,0.001862997008373668,0.0033490782781866457
stoch_d,0.003910748490334015,0.0015078485272699282,0.006444381835261304
bb_percent_b,0.003909939065888324,0.00481646526636581,0.011788165149940077
sma_50,0.003794284479489818,0.013355319668052701,0.04512557450131993
taker_sell_volume,0.0037197349982456274,0.0018731700348268987,0.0442078507605812
taker_buy_ratio,0.0033320332775712558,0.003829176990828742,0.008403753808071457
taker_buy_sell_ratio,0.0032036066088387827,0.0042213964868444975,0.007355526056971762
close,0.0028232323084953492,0.008830717721457049,0.04513110251168495
macd_hist,0.0026973300122765664,0.007081998356385455,0.037609829278618
price_momentum_20,0.002498290446986573,0.0019725951975129163,0.03976360100336418
ema_12,0.0021469898296562206,0.012478992042193937,0.042514905881861687
cci_20,0.0017179665283109102,0.002432579253074607,0.004171819709703151
fear_greed_simple,0.0015593769210457964,0.0,0.008534999586655267
high,0.0012970805363412552,0.0038285918852647427,0.04967942278039672
taker_volume_ma5,0.0012698947232721025,0.0,0.047661981701857314
volume_ma5,0.0012669301792183063,0.0,0.047661981701857314
low,0.00104249637477416,0.002290924090514679,0.047235845076266436
volume_ratio,0.0009992844661859124,3.0416828579404864e-05,0.004372266889275167
log_return,0.0008097247978842148,0.002665557425578058,0.03938407251291842
adx,0.0007460845009941153,0.0007417376626523975,0.013152809562603451
funding_rate,0.0,0.04545172692048283,0.020858919533247366
taker_buy_volume,0.0,0.0,0.047707541637477036
volume,0.0,0.0020881967824220027,0.05711223125715037
number_of_trades,0.0,0.0,0.04359967863168901
open,0.0,0.002236431979703468,0.042650483454623966
volume_ma20,0.0,0.0,0.04339644486497818
volatility_20,0.0,0.003504214308133413,0.09724257118953616
volatility_60,0.0,0.006630332282224316,0.07991767242984071
macd_signal,0.0,0.0,0.036981233604160835
ema_26,0.0,0.014277010723604988,0.04270910626004021
sma_20,0.0,0.010569406150114702,0.042786035720322246
atr_14,0.0,0.0,0.07932863622603215
bb_bandwidth,0.0,0.0,0.07213353303224146
funding_rate_ma3,0.0,0.03942325245257372,0.021948284203690882
funding_rate_change,0.0,0.0,0.0023326091966333617
taker_volume,0.0,0.0022264421803050993,0.0559926374035955
